FAMILY_NAME           KGS_UNITS      METRIC_UNITS   IMPERIAL_UNITS   MIXED_UNITS    INVERSE             DESCRIPTION
amplitude             none           none           none             none           none                "Amplitude"
angle                 deg            deg            deg              deg            none                "Angle"
conductivity          mS/m           mS/m           mmho/m           mmho/m         resistivity_deep    "Conductivity"
density               g/cc           g/cc           g/cc             g/cc           none                "Density"
depth                 m              m              feet             m              none                "Depth"
dissolved_gas         liters/liter   liters/liter   cuft/bbl         cuft/bbl       none                "Dissolved Gas Ratio"
distance              m              m              feet             m              none                "Offset Distance"
fraction              fractional     fractional     fractional       fractional     none                "Fractional"
frequency             Hz             Hz             Hz               Hz             none                "Frequency"
gamma_api             gapi           gapi           gapi             gapi           none                "Gamma Ray"
gas_gravity           none           none           none             none           none                "Specific Gravity of Gas"
impedance             (km/s)*(g/cc)  (km/s)*(g/cc)  (ft/s)*(g/cc)    (ft/s)*(g/cc)  none                "Impedance"
length                cm             cm             inch             inch           none                "Length"
modulus               GPa            GPa            GPa              GPa            none                "Modulus"
mud_weight            g/cc           g/cc           ppg              ppg            none                "Mud Weight"
none                  none           none           none             none           none                "Unitless"
oil_density           API            API            API              API            none                "Oil Gravity"
poissons              fractional     fractional     fractional       fractional     none                "Poisson Ratio"
porosity              v/v            v/v            v/v              v/v            none                "Porosity"
pressure              MPa            MPa            psi              psi            none                "Pressure"
pressure_grad         MPa/m          MPa/m          psi/ft           psi/ft         none                "Pressure Gradient"
psonic                us/m           us/m           us/ft            us/ft          pvelocity           "Compressional Sonic"
pvelocity             km/s           km/s           ft/s             ft/s           psonic              "Compressional Velocity"
ratio                 fractional     fractional     fractional       fractional     fractional          "Ratio"
reflectivity          none           none           none             none           none                "Reflection Coefficient"
resistivity_deep      ohmm           ohmm           ohmm             ohmm           conductivity        "Deep Resistivity"
resistivity_medium    ohmm           ohmm           ohmm             ohmm           conductivity        "Medium Resistivity"
resistivity_shallow   ohmm           ohmm           ohmm             ohmm           conductivity        "Shallow Resistivity"
salinity              ppm            ppm            ppm              ppm            none                "Salinity"
saturation            fractional     fractional     fractional       fractional     none                "Saturation"
ssonic                us/m           us/m           us/ft            us/ft          svelocity           "Shear Sonic"
svelocity             km/s           km/s           ft/s             ft/s           ssonic              "Shear Velocity"
temperature           degC           degC           degF             degF           none                "Temperature"
temperature_grad      degC/(100*m)   degC/(100*m)   degF/(100*ft)    degF/(100*ft)  none                "Temperature Gradient"
text                  none           none           none             none           none                "Text"
time                  msec           msec           msec             msec           none                "Time"
volt                  mv             mv             mv               mv             none                "Spontaneous Potential"
volume                v/v            v/v            v/v              v/v            none                "Volume"
unknown               none           none           none             none           none                "Unknown"
weight                N              N              lbf              lbf            none                "Weight"
