FAMILY_NAME                  SCALE        COLOR       LINE
amplitude                    linear       red         solid
angle                        linear       black       solid
conductivity                 linear       black       solid
density                      linear       red         solid
depth                        linear       black       solid
dissolved_gas                linear       red         solid
distance                     linear       black       solid
fraction                     linear       black       solid
frequency                    linear       red         solid
gamma_api                    linear       blue        solid
gas_gravity                  linear       black       solid
impedance                    linear       red         solid
length                       linear       red         solid
modulus                      linear       black       solid
mud_weight                   linear       green       solid
none                         linear       black       solid
oil_density                  linear       black       solid
poissons                     linear       blue        solid
porosity                     linear       black       solid
pressure                     linear       black       solid
pressure_grad                linear       red         solid
psonic                       linear       black       solid
pvelocity                    linear       black       solid
ratio                        linear       black       solid
reflectivity                 linear       black       solid
resistivity_deep             log          black       solid
resistivity_medium           log          blue        dash
resistivity_shallow          log          red         dot
salinity                     linear       black       solid
saturation                   linear       blue        solid
ssonic                       linear       blue        solid
svelocity                    linear       blue        solid
temperature                  linear       black       solid
temperature_grad             linear       red         solid
text                         linear       black       solid
time                         linear       black       solid
volt                         linear       blue        solid
volume                       linear       black       solid
weight                       linear       red         solid
unknown                      linear       black       solid
