FAMILY_NAME                        KGS_LEFT        KGS_RIGHT      METRIC_LEFT     METRIC_RIGHT    IMPERIAL_LEFT   IMPERIAL_RIGHT       MIXED_LEFT      MIXED_RIGHT
amplitude                              -0.5              0.5             -0.5              0.5             -0.5              0.5             -0.5              0.5
angle                                     0               50                0               50                0               50                0               50
conductivity                           4000                0             4000                0             4000                0             4000                0
density                                 1.8              2.8              1.8              2.8              1.8              2.8              1.8              2.8
depth                                     0             4000                0             4000                0            10000                0             4000
dissolved_gas                             0             1000                0             1000                0             1000                0             1000
distance                                  0             4000                0            10000                0            25000                0            10000
fraction                                  0                1                0                1                0                1                0                1
frequency                                 0              100                0              100                0              100                0              100
gamma_api                                 0              200                0              200                0              200                0              200
gas_gravity                               0                1                0                1                0                1                0                1
impedance                                 3               15                3               15             8000            45000             8000            45000
length                                   10               60               10               60                6               16                6               16
modulus                                   0               10                0               10                0               10                0               10
mud_weight                                1              2.7                1              2.7                8               20                8               20
none                                     ?                ?                ?                ?                ?                ?                ?                ?
oil_density                               0               80                0               80                0               80                0               80
poissons                                  0              0.5                0              0.5                0              0.5                0              0.5
porosity                                0.5                0              0.5                0              0.5                0              0.5                0
pressure                                  0               50                0               50                0             5000                0             5000
pressure_grad                             0              100                0              100                0              100                0              100
psonic                                  500                0              500                0              240               40              240               40
pvelocity                               1.5              6.5              1.5              6.5             6000            16000             6000            16000
ratio                                     0                5                0                5                0                5                0                5
reflectivity                          -0.25             0.25            -0.25             0.25            -0.25             0.25            -0.25             0.25
resistivity_deep                        0.2             2000              0.2             2000              0.2             2000              0.2             2000
resistivity_medium                      0.2             2000              0.2             2000              0.2             2000              0.2             2000
resistivity_shallow                     0.2             2000              0.2             2000              0.2             2000              0.2             2000
salinity                                  0           250000                0           250000                0           250000                0           250000
saturation                                0                1                0                1                0                1                0                1
ssonic                                 1200              200             1200              200              400                0              400                0
svelocity                                .5              2.5               .5              2.5             1000            11000             1000            11000
temperature                               0              150                0              150                0              300                0              300
temperature_grad                          0                1                0                1                0                1                0                1
text                                     ?                ?                ?                ?                ?                ?                ?                ?
time                                      0             5000                0             5000                0             5000                0             5000
volt                                   -160               40             -160               40             -160               40             -160               40
volume                                    0                1                0                1                0                1                0                1
weight                                   ?                ?                ?                ?                ?                ?                ?                ?
unknown                                  ?                ?                ?                ?                ?                ?                ?                ?
